선수명,팀명,년도,타율,경기,타수,득점,홈런,출루율,장타율,출루율+장타율,득점권타율,추정득점,포지션,수비 승리 기여도,수비이닝 합계,도루시도,도루허용,도루성공률
김민성,LG,2019,0.260,107,361,44,8,0.323,0.371,0.694,0.33,41.1,['3루수'],0.165,841 2/3,3.0,2.0,66.7
오지환,LG,2019,0.252,134,473,63,9,0.339,0.378,0.717,0.256,66.7,['유격수'],3.732,1101,32.0,27.0,84.4
홍창기,LG,2019,0.250,23,24,3,0,0.308,0.333,0.641,0.167,2.6,"['우익수', '좌익수', '중견수']",0.011666666666666667,52,3.0,3.0,100
전민수,LG,2019,0.240,75,96,8,0,0.305,0.313,0.618,0.241,8.0,"['우익수', '좌익수', '중견수']",-0.19033333333333335,131,3.0,2.0,66.7
서상우,LG,2019,0.238,13,21,2,0,0.333,0.286,0.619,0.0,1.9,['1루수'],-0.092,6,0.0,0.0,-
신민재,LG,2019,0.235,81,81,25,0,0.323,0.272,0.595,0.211,7.8,"['2루수', '중견수', '3루수']",-0.037333333333333336,189 1/3,18.0,10.0,55.6
정주현,LG,2019,0.231,129,376,53,2,0.291,0.309,0.600,0.195,32.9,['2루수'],1.023,972,21.0,15.0,71.4
김용의,LG,2019,0.218,114,179,35,0,0.316,0.279,0.595,0.25,18.7,"['1루수', '3루수']",0.099,505,11.0,8.0,72.7
김재성,LG,2019,0.200,3,5,0,0,0.429,0.200,0.629,0.333,0.8,['포수'],0.006,17,0.0,0.0,-
류형우,LG,2019,0.182,10,11,2,0,0.250,0.182,0.432,0.333,0.1,"['1루수', '3루수']",-0.1235,29,0.0,0.0,-
구본혁,LG,2019,0.176,57,85,10,1,0.245,0.224,0.469,0.133,5.4,"['3루수', '유격수', '2루수']",0.017000000000000005,273 1/3,3.0,2.0,66.7
백승현,LG,2019,0.167,14,30,1,0,0.167,0.200,0.367,0.0,0.2,"['3루수', '유격수', '2루수']",-0.008333333333333337,77,1.0,1.0,100
이성우,LG,2019,0.156,55,64,2,0,0.239,0.203,0.442,0.188,2.5,['포수'],0.701,210,0.0,0.0,-
양종민,LG,2019,0.136,18,44,1,0,0.170,0.182,0.352,0.083,-0.1,"['3루수', '1루수', '2루수']",-0.005666666666666667,119 2/3,0.0,0.0,-
김재율,LG,2019,0.111,4,9,0,0,0.111,0.111,0.222,0.0,-0.2,['3루수'],0.005,19,0.0,0.0,-
윤진호,LG,2019,0.102,106,59,6,1,0.117,0.186,0.303,0.188,-0.2,"['2루수', '3루수', '유격수']",0.10166666666666668,250 1/3,2.0,1.0,50.0
박지규,LG,2019,0.091,10,11,2,0,0.412,0.091,0.503,0.0,1.6,"['2루수', '3루수']",-0.07100000000000001,45,0.0,0.0,-
정상호,LG,2019,0.083,22,24,1,0,0.083,0.125,0.208,0.25,-2.0,['포수'],-0.046,64,0.0,0.0,-
고우석,LG,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
문광은,LG,2019,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
양원혁,LG,2019,-,1,0,1,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
여건욱,LG,2019,-,3,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이상영,LG,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
장원삼,LG,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
전준호,LG,2019,0.000,8,5,0,0,0.000,0.000,0.000,0.0,-0.5,['포수'],0.174,24,0.0,0.0,-
정우영,LG,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
정찬헌,LG,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
최동환,LG,2019,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
최승민,NC,2019,0.444,24,9,5,0,0.500,0.556,1.056,0.0,2.5,['중견수'],-0.081,24 1/3,8.0,6.0,75.0
나성범,NC,2019,0.366,23,93,19,4,0.443,0.645,1.088,0.28,22.1,"['중견수', '우익수']",0.033,201,3.0,2.0,66.7
양의지,NC,2019,0.354,118,390,61,20,0.438,0.574,1.012,0.364,88.7,['포수'],0.433,723 1/3,7.0,4.0,57.1
박민우,NC,2019,0.344,125,468,89,1,0.403,0.434,0.837,0.333,79.4,['2루수'],1.148,928 1/3,25.0,18.0,72.0
모창민,NC,2019,0.305,101,341,49,10,0.358,0.466,0.824,0.261,57.8,0,0.0,0,5.0,3.0,60.0
이명기,NC,2019,0.293,139,484,62,2,0.359,0.353,0.712,0.269,63.0,"['좌익수', '중견수']",0.0475,607 2/3,18.0,14.0,77.8
이상호,NC,2019,0.278,102,234,30,0,0.306,0.308,0.614,0.179,20.3,"['2루수', '1루수', '3루수']",-0.12325,522,15.0,10.0,66.7
김찬형,NC,2019,0.277,76,141,16,1,0.322,0.355,0.677,0.143,15.8,"['유격수', '3루수', '2루수']",0.05966666666666667,372 1/3,7.0,3.0,42.9
김태진,NC,2019,0.275,123,374,44,5,0.305,0.380,0.685,0.296,43.9,"['좌익수', '중견수', '3루수']",0.23220000000000002,720,16.0,12.0,75.0
박석민,NC,2019,0.267,112,360,49,19,0.393,0.478,0.871,0.28,66.3,['3루수'],-0.166,475 1/3,3.0,1.0,33.3
손시헌,NC,2019,0.267,68,135,17,2,0.317,0.356,0.673,0.3,14.6,['유격수'],0.523,344 1/3,3.0,1.0,33.3
노진혁,NC,2019,0.264,110,348,51,13,0.326,0.454,0.780,0.241,50.2,"['유격수', '3루수']",0.9495,798,1.0,0.0,0.0
이원재,NC,2019,0.258,94,256,31,8,0.311,0.395,0.706,0.279,31.6,['좌익수'],-0.146,155 2/3,3.0,1.0,33.3
권희동,NC,2019,0.256,116,348,37,6,0.358,0.356,0.714,0.227,47.5,"['우익수', '중견수']",-0.003500000000000003,509,3.0,3.0,100
김준완,NC,2019,0.250,8,16,0,0,0.316,0.250,0.566,0.0,2.0,"['우익수', '좌익수']",-0.018,36 1/3,0.0,0.0,-
윤수강,NC,2019,0.250,2,4,0,0,0.250,0.250,0.500,0.0,-0.1,['포수'],-0.009,6,0.0,0.0,-
