선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
채은성,1루수,0.293,188,167,24,49,11,0,9,40,2,18,40,5,1,0,1,0.367,0.521,0.888,5,한화,29,1,1,-0.031,0.258,1루수,29.530000000000005
채은성,1루수,0.293,188,167,24,49,11,0,9,40,2,18,40,5,1,0,1,0.367,0.521,0.888,5,한화,29,1,1,-0.531,0.258,1루수,29.530000000000005
최재훈,포수,0.091,13,11,0,1,1,0,0,0,2,0,3,1,0,0,0,0.231,0.182,0.413,5,한화,0,0,0,0.523,0.283,포수,0.10599999999999987
황영묵,유격수,0.417,25,24,2,10,0,1,0,3,1,0,4,1,0,0,0,0.44,0.5,0.94,6,한화,9,3,6,0.193,0.324,2루수,2.838
황영묵,유격수,0.417,25,24,2,10,0,1,0,3,1,0,4,1,0,0,0,0.44,0.5,0.94,6,한화,9,3,6,-0.071,0.324,2루수,2.838
황영묵,유격수,0.417,25,24,2,10,0,1,0,3,1,0,4,1,0,0,0,0.44,0.5,0.94,6,한화,9,3,6,0.0,0.324,2루수,2.838
안치홍,1루수,0.379,61,58,7,22,5,0,1,11,0,2,5,0,1,0,1,0.393,0.517,0.91,6,한화,16,3,2,-0.087,0.305,,10.619999999999997
안치홍,1루수,0.379,61,58,7,22,5,0,1,11,0,2,5,0,1,0,1,0.393,0.517,0.91,6,한화,16,3,2,-0.658,0.305,,10.619999999999997
채은성,1루수,0.268,75,71,9,19,2,0,3,13,1,3,8,1,0,0,0,0.307,0.423,0.73,6,한화,14,1,1,-0.031,0.258,1루수,8.866
채은성,1루수,0.268,75,71,9,19,2,0,3,13,1,3,8,1,0,0,0,0.307,0.423,0.73,6,한화,14,1,1,-0.531,0.258,1루수,8.866
이도윤,유격수,0.239,50,46,6,11,1,0,0,3,1,3,8,1,0,0,0,0.3,0.261,0.561,6,한화,10,6,3,0.281,0.357,유격수,3.6160000000000005
이도윤,유격수,0.239,50,46,6,11,1,0,0,3,1,3,8,1,0,0,0,0.3,0.261,0.561,6,한화,10,6,3,0.042,0.357,유격수,3.6160000000000005
이도윤,유격수,0.239,50,46,6,11,1,0,0,3,1,3,8,1,0,0,0,0.3,0.261,0.561,6,한화,10,6,3,0.0,0.357,유격수,3.6160000000000005
하주석,유격수,0.231,13,13,0,3,0,0,0,0,0,0,5,0,0,0,0,0.231,0.231,0.462,6,한화,3,1,2,0.069,0.368,유격수,0.10000000000000009
하주석,유격수,0.231,13,13,0,3,0,0,0,0,0,0,5,0,0,0,0,0.231,0.231,0.462,6,한화,3,1,2,-0.1,0.368,유격수,0.10000000000000009
김태연,1루수,0.23,72,61,8,14,9,0,1,9,1,8,18,1,0,2,0,0.329,0.426,0.755,6,한화,4,3,2,-0.211,0.29,1루수,8.216000000000001
김태연,1루수,0.23,72,61,8,14,9,0,1,9,1,8,18,1,0,2,0,0.329,0.426,0.755,6,한화,4,3,2,-0.557,0.29,1루수,8.216000000000001
김태연,1루수,0.23,72,61,8,14,9,0,1,9,1,8,18,1,0,2,0,0.329,0.426,0.755,6,한화,4,3,2,-0.631,0.29,1루수,8.216000000000001
문현빈,2루수,0.156,49,45,4,7,1,1,0,4,0,3,12,0,0,1,0,0.208,0.222,0.43,6,한화,5,2,4,0.058,0.25,2루수,0.8839999999999995
문현빈,2루수,0.156,49,45,4,7,1,1,0,4,0,3,12,0,0,1,0,0.208,0.222,0.43,6,한화,5,2,4,-0.003,0.25,2루수,0.8839999999999995
문현빈,2루수,0.156,49,45,4,7,1,1,0,4,0,3,12,0,0,1,0,0.208,0.222,0.43,6,한화,5,2,4,-0.359,0.25,2루수,0.8839999999999995
최재훈,포수,0.059,26,17,2,1,0,0,0,2,1,4,5,0,0,2,2,0.25,0.059,0.309,6,한화,1,0,0,0.523,0.283,포수,1.5400000000000003
하주석,유격수,0.432,47,44,5,19,5,0,1,7,0,3,5,0,0,0,0,0.468,0.614,1.082,7,한화,13,1,2,0.069,0.368,유격수,9.809999999999997
하주석,유격수,0.432,47,44,5,19,5,0,1,7,0,3,5,0,0,0,0,0.468,0.614,1.082,7,한화,13,1,2,-0.1,0.368,유격수,9.809999999999997
김태연,1루수,0.429,31,28,7,12,2,0,1,5,0,3,4,1,0,0,0,0.484,0.607,1.091,7,한화,9,3,2,-0.211,0.29,1루수,6.457999999999997
김태연,1루수,0.429,31,28,7,12,2,0,1,5,0,3,4,1,0,0,0,0.484,0.607,1.091,7,한화,9,3,2,-0.557,0.29,1루수,6.457999999999997
김태연,1루수,0.429,31,28,7,12,2,0,1,5,0,3,4,1,0,0,0,0.484,0.607,1.091,7,한화,9,3,2,-0.631,0.29,1루수,6.457999999999997
