선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
한준수,포수,0.315,205,184,26,58,16,0,4,29,1,15,32,4,0,0,5,0.361,0.467,0.828,8,KIA,38,0,0,0.292,0.259,포수,30.494
김태군,포수,0.253,186,166,18,42,5,0,5,24,6,8,20,11,0,6,0,0.311,0.373,0.684,8,KIA,32,0,0,0.89,0.222,포수,16.41
변우혁,1루수,0.25,13,12,3,3,1,0,0,1,1,0,2,1,0,0,0,0.308,0.333,0.641,8,KIA,2,1,0,0.185,0.3,1루수,1.0440000000000005
변우혁,1루수,0.25,13,12,3,3,1,0,0,1,1,0,2,1,0,0,0,0.308,0.333,0.641,8,KIA,2,1,0,-0.211,0.3,1루수,1.0440000000000005
홍종표,2루수,0.25,13,12,3,3,1,0,0,1,0,1,2,0,0,0,0,0.308,0.333,0.641,8,KIA,2,1,2,0.016,0.308,2루수,0.774
홍종표,2루수,0.25,13,12,3,3,1,0,0,1,0,1,2,0,0,0,0,0.308,0.333,0.641,8,KIA,2,1,2,-0.001,0.308,2루수,0.774
홍종표,2루수,0.25,13,12,3,3,1,0,0,1,0,1,2,0,0,0,0,0.308,0.333,0.641,8,KIA,2,1,2,-0.048,0.308,2루수,0.774
홍종표,2루수,0.25,13,12,3,3,1,0,0,1,0,1,2,0,0,0,0,0.308,0.333,0.641,8,KIA,2,1,2,-0.263,0.308,2루수,0.774
홍종표,2루수,0.319,53,47,7,15,1,2,0,3,1,3,13,0,0,2,0,0.373,0.426,0.799,9,KIA,12,1,2,0.016,0.308,2루수,6.795999999999999
홍종표,2루수,0.319,53,47,7,15,1,2,0,3,1,3,13,0,0,2,0,0.373,0.426,0.799,9,KIA,12,1,2,-0.001,0.308,2루수,6.795999999999999
홍종표,2루수,0.319,53,47,7,15,1,2,0,3,1,3,13,0,0,2,0,0.373,0.426,0.799,9,KIA,12,1,2,-0.048,0.308,2루수,6.795999999999999
홍종표,2루수,0.319,53,47,7,15,1,2,0,3,1,3,13,0,0,2,0,0.373,0.426,0.799,9,KIA,12,1,2,-0.263,0.308,2루수,6.795999999999999
박찬호,유격수,0.301,132,113,16,34,5,0,0,14,0,13,9,1,1,3,3,0.364,0.345,0.709,9,KIA,29,15,10,1.116,0.324,유격수,15.607999999999999
최원준,중견수,0.3,150,130,19,39,10,1,3,18,3,15,18,2,0,2,0,0.385,0.462,0.847,9,KIA,25,17,8,-0.002,0.33,중견수,22.686000000000003
최원준,중견수,0.3,150,130,19,39,10,1,3,18,3,15,18,2,0,2,0,0.385,0.462,0.847,9,KIA,25,17,8,-0.329,0.33,중견수,22.686000000000003
서건창,2루수,0.286,18,14,0,4,1,0,0,3,0,3,3,0,0,0,1,0.389,0.357,0.746,9,KIA,3,3,1,0.173,0.308,1루수,2.906
서건창,2루수,0.286,18,14,0,4,1,0,0,3,0,3,3,0,0,0,1,0.389,0.357,0.746,9,KIA,3,3,1,-0.542,0.308,1루수,2.906
이창진,좌익수,0.083,16,12,2,1,1,0,0,0,0,4,6,0,0,0,0,0.313,0.167,0.48,9,KIA,0,3,1,0.05,0.146,좌익수,1.2620000000000002
이창진,좌익수,0.083,16,12,2,1,1,0,0,0,0,4,6,0,0,0,0,0.313,0.167,0.48,9,KIA,0,3,1,-0.216,0.146,좌익수,1.2620000000000002
이창진,좌익수,0.083,16,12,2,1,1,0,0,0,0,4,6,0,0,0,0,0.313,0.167,0.48,9,KIA,0,3,1,-0.237,0.146,좌익수,1.2620000000000002
